No.,Title,Brand/ Manufacturer,Date,UPC codes,model.id,Summary,Repair Number,,Unnamed: 5,brand_names,retail_names,manufacturer,Title
6041,"CPSC, Robert Bosch Tool Corp. Announce Recall of Circular Saws",CPSC,5/18/2005,,"CS10, CS20, CS20-XC","May 18, 2005 Release #05-177 BOSCH Recall Hotline: (800) 856-9683 CPSC Consumer Hotline: (800) 638-2772CPSC Media Contact: (301) 504-7908 CPSC, Robert Bosch Tool Corp. Announce Recall of Circular Saws WASHINGTON, D.C. - The U.S. Consumer Product Safety Commission announces the following recall in voluntary cooperation with the firm below. Consumers should stop using recalled products immediately unless otherwise instructed. It is illegal to resell or attempt to resell a recalled consumer product. Name of Product: BOSCH Circular Saws Units: 69,000 Manufacturer: Robert Bosch Tool Corp., of Mount Prospect, Ill. Hazard: The lower blade guard can malfunction, creating a risk of injury as severe as amputation. Incidents/Injuries: The firm has received three reports of malfunctioning lower guards, including one amputation. Description: The recall circular saws include the BOSCH CS10, CS20 and CS20-XC models, which can be identified on the product nameplate mounted on the top of the motor housing. The recalled models do not have an asterisk (*) in the serial number box. The circular saw uses a 7Ã‚Â¼-inch blade and has a blue handle and motor enclosure, and a metal guarding system. The name ""BOSCH"" is printed on the blade guard. Sold At: Home Depot, Lowe's and Menards nationwide, as well as independent hardware retailers and industrial distributors, from February 2004 through April 2005 for between $120 and $150. Manufactured in: United States Remedy: Consumer should stop using the circular saws immediately and contact Robert Bosch Tool Corp. to receive a repair kit. The kit includes hardware and instructions for installation. Consumer Contact: Robert Bosch Tool Corp. at (800) 856-9683 between 7 a.m. and 7 p.m. CT Monday through Friday or visit the BOSCH Web site at www.boschtools.co",5177,,https://www.cpsc.gov/Recalls/2005/CPSC-Robert-Bosch-Tool-Corp-Announce-Recall-of-Circular-Saws-, Bosch,,Robert Bosch Tool,"CPSC, Robert Bosch Tool Corp. Announce Recall of Circular Saws"
6042,"CPSC, Michaels of Oregon Announce Recall of Handgun Holsters",CPSC,5/17/2005,,,"May 17, 2005 Release #05-175 FirmÃ‚Â’s Hotline: (800) 471-4999CPSC Consumer Hotline: (800) 638-2772CPSC Media Contact: (301) 504-7908 CPSC, Michaels of Oregon Announce Recall of Handgun Holsters WASHINGTON, D.C. - The U.S. Consumer Product Safety Commission announces the following recall in voluntary cooperation with the firm below. Consumers should stop using recalled products immediately unless otherwise instructed. It is illegal to resell or attempt to resell a recalled consumer product. Name of Product: Kydex Belt Holsters for Glock model handguns Units: About 8,000 Manufacturer: Michaels of Oregon, of Oregon City, Ore. Hazard: The holsterÃ‚Â’s retention strap can move out of position and could cause a handgun to unexpectedly discharge while being reholstered, posing a serious injury risk to consumers. Incidents/Injuries: The firm has received three reports of unexpected discharges. In one incident, a law enforcement officer was shot in the leg while reholstering his firearm. Description: The recall includes Kydex Belt and Tactical Holsters with thumb break fits for Glock model handguns. The holsters are rigid and are made of black Kydex and come with tension screws for a proper fit. The words, Ã‚Â“Uncle MikeÃ‚Â’s by Michaels of OregonÃ‚Â” are printed on the back of the holster. The recall involves sizes 12, 21, and 25, which is printed on the inside of the holster between the two screws securing the holster to the belt slide. Sold through: Uncle MikeÃ‚Â’s and Uncle MikeÃ‚Â’s Law Enforcement catalogs and at sporting goods stores and gun supply stores nationwide from January 2002 through October 2002 for between $25 and $50. Manufactured in: United States Remedy: Consumers who have purchased a Kydex Holster with a Thumb break for a Glock Handgun should stop using it immediately and contact Michaels of Oregon for a replacement retention strap free of charge. Consumer Contact: Call Michaels of Oregon at (800) 471-4999 between 7:30 a.m. and 4:30 p.m. PT Monday through Friday, or visit their Web site at www.michaelsoforegon.co",5175,,https://www.cpsc.gov/Recalls/2005/CPSC-Michaels-of-Oregon-Announce-Recall-of-Handgun-Holsters-, ,,Michaels of Oregon,"CPSC, Michaels of Oregon Announce Recall of Handgun Holsters"
6047,"Bush Hog, LLC Recall of Utility Vehicles",Bush,5/12/2005,,TH 440,"Bush Hog, LLC Recall of Utility Vehicles Recall Alert U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 May 12, 2005 Alert #05-572 CPSC, Bush Hog, LLC Announce Recall of Utility Vehicles The following product safety recall was voluntarily conducted by the firm in cooperation with the CPSC. Consumers should stop using recalled products immediately unless otherwise instructed. It is illegal to resell or attempt to resell a recalled consumer product. Name of Product: Bush Hog Model TH 440 (Trail Hunter) Off-Road Utility Vehicle Units: About 300 Manufacturer: Bush Hog LLC, of Selma, Ala. Hazard: The front suspension A-frame can break or separate from the front wheel and cause a loss of steering ability resulting in serious injury or death. Incidents/Injuries: There has been one reported incident of separation. No confirmed injuries were involved in this incident. Description: The recall includes the Bush Hog Model TH 440 Off-Road Utility Vehicle. The ""Bush Hog"" name appears on the cargo bed tail gate and on each side of the cargo bed. The Model ""TH440"" appears each side of the hood. The hood color is red or green or Mossy Oak. Sold at: Bush Hog dealerships nationwide from January 2005 through April 2005 for between $8,800 and $9,275. Manufactured in: Selma, Ala. Remedy: Consumers should stop using these utility vehicles immediately. All registered owners have been notified about this recall by mail. Consumers with a recalled vehicle should contact their local Bush Hog dealer to schedule the free repair. If consumers are unsure if their vehicle is affected, they should contact Bush Hog. Consumer Contact: Call the firm toll-free at (877) 873-0143 between 8 a.m. and 4 p.m. CT Monday through Friday, or go to the firm's Web site www.bushhog.com",5572,,https://www.cpsc.gov/Recalls/2005/CPSC-Bush-Hog-LLC-Announce-Recall-of-Utility-Vehicles,Bush,,Bush Hog,"Bush Hog, LLC Recall of Utility Vehicles"
6048,PBteen Recall for Replacement of Glass Drawer Knobs,PBteen,5/12/2005,,"6247795, 6247811, 6247787, 6247761, 6247779, 6247803","PBteen Recall for Replacement of Glass Drawer Knobs Recall Alert U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 May 12, 2005 Alert #05-573 CPSC, PBteen Announce Recall for Replacement of Glass Drawer Knobs The following product safety recall was voluntarily conducted by the firm in cooperation with the CPSC. Consumers should stop using recalled products immediately unless otherwise instructed. It is illegal to resell or attempt to resell a recalled consumer product. Name of Product: Glass Knobs on Chez Moi Furniture Collection Units: 28,000 Distributor: PBteen, San Francisco, Calif. Hazard: The glass knobs can break when over-tightened or when pressure is applied, exposing a sharp edge. Incidents/Injuries: PBteen has received 14 reports of individuals receiving lacerations from broken drawer knobs that were over-tightened during assembly. Description: The glass knobs can be found on PBteen Chez Moi Furniture Collection, Model Numbers 6247795, 6247811, 6247811, 6247787, 6247761, 6247779, and 6247803. Sold: Only through PBteen catalog and Web site nationwide. Manufactured in: Taiwan Remedy: PBteen is contacting consumers directly and providing acrylic replacement knobs at no cost to consumers. Consumers who believe they have the affected furniture can call PBteen at 1-866-472-3010, Sunday through Saturday, 7 a.m. to 10 p.m. PT, or visit their Web site at www.pbteen.com",5573,,https://www.cpsc.gov/Recalls/2005/CPSC-PBteen-Announce-Recall-for-Replacement-of-Glass-Drawer-Knobs,PBteen,,,PBteen Recall for Replacement of Glass Drawer Knobs
6050,Midwest Folding Products Recall to Repair Optional Guard Rails on Standing Choral Risers,Midwest,5/11/2005,,"GRU30, GRU36, GRU48, TRP3C, SRP3C","Midwest Folding Products Recall to Repair Optional Guard Rails on Standing Choral Risers Recall Alert U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 May 11, 2005 Alert #05-571 CPSC, Midwest Folding Products Announce Recall to Repair Optional Guard Rails on Standing Choral Risers The following product safety recall was voluntarily conducted by the firm in cooperation with the CPSC. Consumers should stop using recalled products immediately unless otherwise instructed. It is illegal to resell or attempt to resell a recalled consumer product. Name of Product: Optional Guard Rails sold on Standing Choral Risers Units: About 7,000 guard rails. Manufacturer: Midwest Folding Products Inc., of Chicago, Ill. Hazard: Choral risers equipped with an optional guard rail can tip over under certain loading conditions, which poses a risk of injury from falling from the risers. Incidents/Injuries: Midwest Folding Products is aware of two incidents where a set of guard rail equipped risers tipped over. One incident caused a minor injury to one child. Description: The product is a guard rail that attaches to the top level of a standing choral riser set with three tiered levels of horizontal platforms on which individuals stand. The recall includes Optional Guard Rails (model numbers GRU30, 36 and 48) installed on Standing Choral Risers (model numbers TRP3C and SRP3C). Risers without guard rails are not included in this recall. Sold by: Distributors and by direct sale nationwide from 1986 through November 2004. Manufactured in: United States Remedy: Owners of the choral riser sets with optional guard rails have been contacted directly by the Midwest Folding Products, Inc. and provided with information about how to obtain a free repair kit. If an owner of a choral riser set with optional guard rail has not already been contacted by Midwest Folding Products, the owner should stop using the risers immediately and contact Midwest Folding Products at the number listed below. Consumer Contact: For more information, call Midwest Folding Products at (800) 621-4716 between 9 a.m. and 5 p.m. CT, or contact through Web site at www.Midwestfolding.com",5571,,https://www.cpsc.gov/Recalls/2005/CPSC-Midwest-Folding-Products-Announce-Recall-to-Repair-Optional-Guard-Rails-on-Standing-Choral-Risers,Midwest,,,Midwest Folding Products Recall to Repair Optional Guard Rails on Standing Choral Risers
6051,Fisher-Price Recall of Pogo Sticks,Fisher,5/10/2005,,"73386, 77356","Fisher-Price Recall of Pogo Sticks NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE May 10, 2005 Release #05-167 Firm's Recall Hotline: (800) 991-2444 CPSC Recall Hotline: (800) 638-2772 CPSC Media Contact: (301) 504-7908 CPSC, Fisher-Price Announce Recall of Pogo Sticks WASHINGTON, D.C. - The U.S. Consumer Product Safety Commission, in cooperation with the firm named below, today announced a voluntary recall of the following consumer product. Consumers should stop using recalled products immediately unless otherwise instructed. It is illegal to resell or attempt to resell a recalled consumer product. Name of Product: Fisher-PriceÃ‚Â® Grow-To-ProÃ‚Â® Pogo Sticks Units: About 154,000 Manufacturer: Fisher-Price, of East Aurora, N.Y. Hazard: An internal metal pin can wear down, causing the pogo sticks to remain stuck in the down position and release unexpectedly, posing a risk of fall or facial impact injuries to children. Incidents/Injuries: Fisher-Price has received 17 reports of incidents with the pogo sticks, including one report of two teeth being lost and one report where stitches were required. Other injuries involved cuts and bruises to the face, arms and legs from fall injuries. Description: The recalled Grow-To-ProÃ‚Â® Pogo sticks are traditional pogo sticks with a round, removable base, two foot pegs and handles and the words ""Grow to Pro Pogo"" stamped on the front of the product. They come in two colors: green (model number 73386) and pink (model number 77356). The model number can be found underneath the pogo stick's foot pegs. This recall includes green pogo sticks manufactured through August 1, 2004, and all pink pogo sticks. Green pogo sticks manufactured after August 1, 2004, are not included in this recall and are marked with a round, green sticker underneath the foot peg. Pink pogo sticks are no longer manufactured. Sold by: Discount department and toy stores nationwide from January 2002 through August 2004 for between $25 and $30. Manufactured in: China Remedy: Consumers should take the products away from children immediately and contact Fisher-Price to receive a free replacement pogo stick. Consumer Contact: Contact Fisher-Price at (800) 991-2444 anytime or visit the firm's Web site at www.service.fisher-price.com Model number 73386 Model number 77356",5167,,https://www.cpsc.gov/Recalls/2005/CPSC-Fisher-Price-Announce-Recall-of-Pogo-Sticks-,Fisher-Price,,,Fisher-Price Recall of Pogo Sticks
6052,Fisher-Price Recall of Push Toys,Fisher,5/10/2005,,B0335,"Fisher-Price Recall of Push Toys NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE May 10, 2005 Release #05-168 Firm's Recall Hotline: (800) 991-2444 CPSC Recall Hotline: (800) 638-2772 CPSC Media Contact: (301) 504-7908 CPSC, Fisher-Price Announce Recall of Push Toys WASHINGTON, D.C. - The U.S. Consumer Product Safety Commission, in cooperation with the firm named below, today announced a voluntary recall of the following consumer product. Consumers should stop using recalled products immediately unless otherwise instructed. It is illegal to resell or attempt to resell a recalled consumer product. Name of Product: Fisher-Price Lil' Wagster Dragster push toys Units: About 54,000 Manufacturer: Fisher-Price, of East Aurora, N.Y. Hazard: A young child's chin, jaw, and teeth can get lodged in the opening at the top of the push toy's round-shaped handle and incur injuries. Incidents/Injuries: Fisher-Price has received nine reports of injuries associated with the push toy's handle including loose teeth, cut gums and bruises to the mouth and chin. Description: The recalled Lil' Wagster Dragster toy is an electronic push toy for children 1-year-old and up. It has a green race car base with red wheels and a blue handle that extends up for the child to hold. The words ""Fisher-Price"" are stamped in red on the handle unit, while the number ""3"" is stamped in yellow on the front of the race car base. The push toy has a model number of B0335, which is printed on the underside of the toy's race car base. Sold at: Discount department stores and toy stores nationwide from December 2002 through February 2005 for about $13. Manufactured in: Mexico Remedy: Consumers should take the recalled push toys away from young children immediately and contact Fisher-Price to receive a repair kit and installation instructions. Consumer Contact: Contact Fisher-Price at (800) 991-2444 anytime or log on to the firm's Web site at www.service.fisher-price.com",5168,,https://www.cpsc.gov/Recalls/2005/CPSC-Fisher-Price-Announce-Recall-of-Push-Toys-,Fisher-Price,,,Fisher-Price Recall of Push Toys
6053,Quality Bicycle Products Recall of Bicycle Handlebar Stems,Quality,5/5/2005,,"SM2330, SM2331, SM2332, SM2333, SM4555, SM4556, SM4557, SM4558, SM4567, SM4570, SM4571, SM4572, SM4573","Quality Bicycle Products Recall of Bicycle Handlebar Stems NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE May 5, 2005 Release #05-166 Firm's Recall Hotline: (877) 725-7211 CPSC Recall Hotline: (800) 638-2772 CPSC Media Contact: (301) 504-7908 CPSC, Quality Bicycle Products Announce Recall of Bicycle Handlebar Stems WASHINGTON, D.C. - The U.S. Consumer Product Safety Commission, in cooperation with the firm named below, today announced a voluntary recall of the following consumer product. Consumers should stop using recalled products immediately unless otherwise instructed. It is illegal to resell or attempt to resell a recalled consumer product. Name of Product: Dimension Bicycle Road and Mountain Threadless Handlebar Stems Units: About 18,000 Manufacturer: Quality Bicycle Products Inc., of Bloomington, Minn. Hazard: These handlebar stems can crack or break, causing the bicycle rider to fall and suffer injuries. Incidents/Injuries: There has been one report of a handlebar stem breaking that resulted in minor abrasions and bruises to the rider. Description: The recall involves all Dimension-brand road and mountain threadless bicycle stems with a 130 degree rise. The stems are black or silver and have the word ""Dimension"" painted on the extension. Only models SM2330 to SM2333, SM4555 to SM4558, SM4567, and SM4570 to SM4573 are included in this recall. The model numbers are printed on the original packaging. These handlebar stems all have a 130-degree ""high rise"" but vary in extension length. Sold at: Bicycle specialty stores, Web and mail order retailers nationwide from January 2003 through March 2005 for about $25. Manufactured in: Taiwan and China Remedy: Contact your local bicycle retailer to have them check your handlebar stem and obtain a replacement stem if necessary. Consumer Contact: For more information, contact QBP toll-free at (877) 725-7211 between 8 a.m. and 6 p.m. CT Monday through Friday or visit www.dimensionbikeproducts.com",5166,,https://www.cpsc.gov/Recalls/2005/CPSC-Quality-Bicycle-Products-Announce-Recall-of-Bicycle-Handlebar-Stems-, ,,Quality Bicycle Products,Quality Bicycle Products Recall of Bicycle Handlebar Stems
6055,Holmes Group Recall of Portable Electric Heaters,Holmes,5/5/2005,,HCH4305,"Holmes Group Recall of Portable Electric Heaters Recall Alert U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 May 5, 2005 Alert #05-570 CPSC, Holmes Group Announce Recall of Portable Electric Heaters The following product safety recall was voluntarily conducted by the firm in cooperation with the CPSC. Consumers should stop using recalled products immediately unless otherwise instructed. It is illegal to resell or attempt to resell a recalled consumer product. Name of Product: Portable electric heater Units: About 13,500 Importer: The Holmes Group, Inc. of Milford, Mass. Retailer: QVC, Inc. of West Chester, Penn. Hazard: Some heaters have improperly crimped wires which can result in overheating and a potential thermal burn or fire hazard. Incidents/Injuries: Holmes is aware of 19 reports of heaters overheating, melting or charring along the bottom of the heater, including 13 reports of minor property damage beneath the heater. No injuries have been reported. Description: The recall involves the Holmes model HCH4305 portable electric heaters sold by QVC as QVC Item No. V19768. The model number and date code is located on the bottom of the heater. Recalled heaters have a date code beginning with ""33xx"" through ""39xx"". Sold by: The recalled heaters were sold exclusively by QVC via the QVC cable television channel from October 2004 through January 2005 for about $33. Manufactured in: China Remedy: Consumers should stop using the recalled heater immediately. QVC is directly contacting all known consumers to arrange for a full refund. Consumer Contact: For more information, contact QVC Customer Service at (800) 367-9444 between 8:00 a.m. and 12:00 midnight ET, any day of the week.",5570,,https://www.cpsc.gov/Recalls/2005/CPSC-Holmes-Group-Announce-Recall-of-Portable-Electric-Heaters,Holmes,,,Holmes Group Recall of Portable Electric Heaters
6056,Jake's Fireworks Inc. Recall of Fireworks,Jake's,5/3/2005,,,"Jake's Fireworks Inc. Recall of Fireworks NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE May 3, 2005 Release #05-165  Jake's Fireworks Recall Hotline: (800) 766-1277 CPSC Recall Hotline: (800) 638-2772 CPSC Media Contact: (301) 504-7908 Firm's Media Contact: Michael Marietta, (620) 231-2264 CPSC, Jake's Fireworks Inc. Announce Recall of Fireworks WASHINGTON, D.C. - The U.S. Consumer Product Safety Commission, in cooperation with the firm named below, today announced a voluntary recall of the following consumer product. Consumers should stop using recalled products immediately unless otherwise instructed. It is illegal to resell or attempt to resell a recalled consumer product. Name of Product: 24-shot Excalibur Reloadable Artillery Shell Kits Units: About 75,000 reloadable kits Importer: Jake's Fireworks Inc., of Pittsburg, Kan. Hazard: The aerial shells are fused, shaped, and labeled in a way that could cause consumers to unintentionally place them into the launch tube upside down, resulting in a ground-level explosion. Such an explosion can cause serious injuries to consumers in close proximity of the device. Incidents/Injuries: CPSC has confirmed one incident where a consumer inadvertently placed an Excalibur shell inside a tube upside down. No injuries were reported. Description: These 24-shot Excalibur Reloadable Artillery Shell Kits are sold in a black box with plastic windows. The shell kits are a consumer fireworks device that consists of a black plastic launch tube and twenty-four display shells in a display box. ""24 shot Excalibur Reloadable Artillery Shell Kits"" and ""World Class Fireworks"" are written on the front of the display box. Only the model 24 shot Excalibur Reloadable Artillery Shell Kits are included in this recall. Sold at: Fireworks retailers, including display stands and tents in states permitting the sale of consumer fireworks, from Winter 2003 through Winter 2004 for about $30. Manufactured in: China Remedy: Consumers should stop using the fireworks immediately and return the entire device to the store where purchased for a full refund or contact Jake's Fireworks for further instructions. Consumer Contact: Call Jake's Fireworks Inc. at (800) 766-1277 between 8 a.m. and 5 p.m. CT Monday through Friday, or visit the firm's Web site at www.jakesfireworks.com",5165,,https://www.cpsc.gov/Recalls/2005/CPSC-Jakes-Fireworks-Inc-Announce-Recall-of-Fireworks-, ,,Jake's Fireworks Inc.,Jake's Fireworks Inc. Recall of Fireworks
6057,Simplicity Inc. Recall of Cribs,Simplicity,5/3/2005,,"8554W-PT, 8554WW","Simplicity Inc. Recall of Cribs NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE Originally issued May 3, 2005, Revised April 7, 2009 Release #05-164 CPSC Recall Hotline: (800) 638-2772 CPSC Media Contact: (301) 504-7908 Note: The firm appears to no longer conduct day to day operations. CPSC, Simplicity Inc. Announces Recall of Cribs WASHINGTON, D.C. - The U.S. Consumer Product Safety Commission, in cooperation with the firm named below, today announced a voluntary recall of the following consumer product. Consumers should stop using recalled products immediately unless otherwise instructed. It is illegal to resell or attempt to resell a recalled consumer product. Name of Product: White Lancaster Cribs Units: About 575 Manufacturer: Simplicity Inc., of Reading, Pa. (The firm appears to no longer conduct day to day operations.) Hazard: The white paint on the cribs can chip, posing a choking hazard to young children. Incidents/Injuries: Simplicity Inc. has received four reports of consumers who noticed paint peeling off their crib. No injuries have been reported. Description: The recalled cribs are made of wood and painted white. Model numbers 8554W-PT and 8554WW are printed inside the headboard and on the envelope attached to the mattress support. The Simplicity name, address, manufacturing date and model number are written on a label found on the inside bottom of the headboard. Sold at: Department stores, Children's product stores and Target.com from June 2004 through April 2005 for about $200. Manufactured in: Indonesia Remedy: Consumers should contact Simplicity Inc. to receive a refund.",5164,,https://www.cpsc.gov/Recalls/2005/CPSC-Simplicity-Inc-Announces-Recall-of-Cribs-,Simplicity,,,Simplicity Inc. Recall of Cribs
6058,Polaris Industries Recall of Select Model Year 2004.5 and 2005 Sportsman and 2005 Model Year Scrambler ATVs,Polaris,5/3/2005,,"A04CH50AR, A05MH42AB, A05MH50AB, A05MH50AC, A05MH50AG, A05MH50AH, A05MH59AK, A05MH68AK, A05MH68AN, A05MH68AP, A05BG50AA","Polaris Industries Recall of Select Model Year 2004.5 and 2005 Sportsman and 2005 Model Year Scrambler ATVs Polaris Industries Announces Recall of Select Model Year 2004.5 and 2005 Sportsman and 2005 Model Year Scrambler ATVs The following product safety recall was voluntarily conducted by the firm in cooperation with the CPSC. Consumers should stop using recalled products immediately unless otherwise instructed. It is illegal to resell or attempt to resell a recalled consumer product. Name of Product: Polaris 2004.5 Ã‚Â‘Sportsman 500,' 2005 Ã‚Â‘Sportsman 400,' Ã‚Â‘Sportsman 500,' Ã‚Â‘Sportsman 600,' Ã‚Â‘Sportsman 700,' and 2005 Ã‚Â‘Scrambler 500' Units: About 14,882 Manufacturer/Importer: Polaris Industries Inc., of Medina, Minn. Hazard: Some 2004.5 and 2005 Model Year Sportsman and 2005 Model Year Scrambler 500 ATVs were assembled with possibly defective Electronic Control Modules (ECM) which may fail and overheat. If this were to occur, excessive heat could cause a fire, possibly resulting in serious injury or death. Affected units can be verified by comparing the last six digits of the Vehicle Identification Number (VIN) to the serial number range in bold type below. NOTE: Not all 2004.5 and 2005 vehicles are affected. Please review the affected unit table below. Incidents/Injuries: Polaris has received 26 reports of the ECM overheating. No injuries have been reported. Description: Only select model year Polaris ATVs are part of this recall. The Sportsman ATV model and serial number identification decal is located on the right front side of the front radiator covering. The Scrambler 500 ATV model and serial number identification decal is located on top of the front cab cover. The VIN, or serial number is permanently stamped into the left frame rail behind the left front wheel of all Polaris ATVs. Model(s) Affected Model Number(s) Serial Number Range - (last six numbers of VIN) 2004.5 Sportsman 500 A04CH50AR 4XACH50A*4 407617-407876 2005 Sportsman 400 A05MH42AB 4XAMH42A*5A 354270-354759, 360481-360630 4XAMH42A*5B 411353-412822 4XAMH42A*5A 353730-354269, 360631-360780 4XAMH42A*5B 411593-411832, 413068-413137 2005 Sportsman 500 A05MH50AB A05MH50AC A05MH50AG A05MH50AH 4XAMH50A*5A 350562-351321, 355431-355580, 359016-359730, 362935-362979 4XAMH50A*5B 407877-408216, 411873-411912, 415275-416014, 417015-417299 4XAMH50A*5A 355581-355835, 358431-358715, 359831-360290 4XAMH50A*5B 411913-412207, 415350-415419, 416015-416279, 417315-417614, 418310 4XAMH50A*5A 350342-351590, 355280-355430, 358716-359790 4XAMH50A*5B 408217-408556, 411833-411872, 415200-415274, 416280-416564, 417615-418114 4XAMH50A*5A 350782-351051, 355130-355279, 359231-359630, 362765-363854 4XAMH50A*5B 412208-412332, 415420-415754, 416715-417014, 418510-418704 2005 Sportsman 600 A05MH59AK 4XAMH59A*5A 349790-350341 2005 Sportsman 700 A05MH68AK A05MH68AN A05MH68AP 4XAMH68A*5A 349720-349789, 351776-352060, 353253-353487, 356181-356390 4XAMH68A*5A 360901-361245, 362707-362764, 363575-363646 4XAMH68A*5A 349130-349719, 351591-351775, 353488-353729, 355836-356180 4XAMH68A*5A 360781-360900, 361286-361545, 362582-362706 4XAMH68A*5A 362597-362609 2005 Scrambler 500 A05BG50AA 4XABG50A*52 523011-523889, 527617-528602.",5568,,https://www.cpsc.gov/Recalls/2005/CPSC-Polaris-Industries-Announces-Recall-of-Select-Model-Year-20045-and-2005-Sportsman-and-2005-Model-Year-Scrambler-ATVs,Polaris,,Polaris Industries,Polaris Industries Recall of Select Model Year 2004.5 and 2005 Sportsman and 2005 Model Year Scrambler ATVs
6060,American Suzuki Motor Corp. Recall of All-Terrain Vehicles,American,4/29/2005,,"LT-A400FK5, LT-F400FK5, LT-A500FK5","American Suzuki Motor Corp. Recall of All-Terrain Vehicles Recall Alert U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 April 29, 2005 Alert #05-567 CPSC, American Suzuki Motor Corp. Announce Recall of All-Terrain Vehicles The following product safety recall was voluntarily conducted by the firm in cooperation with the CPSC. Consumers should stop using recalled products immediately unless otherwise instructed. It is illegal to resell or attempt to resell a recalled consumer product. Name of Product: Suzuki 2005 Model Year Eiger and Vinson ATVs Units: About 1,540 Distributors: American Suzuki Motor Corp., of Brea, Calif., and Montgomery Motors Ltd., of Honolulu, Hawaii. Hazard: The fuel petcock inserts were made with incorrect material that does not correctly bond the fuel tank and petcock insert, which could allow fuel leakage. If this occurs, a fire hazard with the possibility of injury and property damage could result. Incidents/Injuries: There have been no reported incidents of fire or injury. Description: The recall includes Suzuki 2005 model year Eiger and Vinson ATVs. Only Model LT-A400FK5 ATVs with ending VIN from 57104462 through 57105157, Model LT-F400FK5 ATVs with ending VIN from 57103131 through 57103730, and Model LT-A500FK5 ATVs with ending VIN from 57105616 through 57106276 are included in the recall. (Note: not all VINs within the above ranges are affected.) The VIN is stamped on the ATV frame and can be seen by looking between the left rear tire and fender. Sold at: Suzuki dealerships nationwide from December 2004 through April 2005 for between $5,199 and $6,699. Manufactured in: Rome, Ga. Remedy: Consumers should stop using these ATVs immediately. Registered owners have been notified about this recall by mail. Consumers with a recalled ATV should contact their local Suzuki ATV dealer to schedule the free repair. If consumers are unsure if their ATV is affected, they should contact Suzuki. Consumers should have the vehicle identification number (VIN) of the ATV available when they call. Consumer Contact: Call the firm toll-free at (800) 444-5077 between 8:30 a.m. and 5 p.m. PT Monday through Friday, or go to the firm's Web site at www.suzukicycles.com",5567,,https://www.cpsc.gov/Recalls/2005/CPSC-American-Suzuki-Motor-Corp-Announce-Recall-of-All-Terrain-Vehicles,American,,American Suzuki Motor Corp,American Suzuki Motor Corp. Recall of All-Terrain Vehicles
